LocationID,Region,City,State,RegionalManager,ServiceableCapacity
1,South,Hyderabad,TG,S. Gupta,441277
2,North,Indore,MP,V. Shah,380956
3,East,Pune,MH,N. Patel,130408
4,South,Jaipur,RJ,A. Mehta,145061
5,West,Chennai,TN,A. Mehta,226176
6,Central,Pune,MH,S. Gupta,130990
7,North,Lucknow,UP,R. Singh,430629
8,Central,Kolkata,WB,A. Mehta,402568
9,West,Lucknow,UP,A. Mehta,215910
10,Central,Indore,MP,V. Shah,169821
11,West,Bengaluru,KA,R. Singh,383475
12,Central,Pune,MH,P. Iyer,393736
13,South,Kolkata,WB,A. Mehta,404925
14,South,Lucknow,UP,P. Iyer,151081
15,North,Jaipur,RJ,N. Patel,131248
16,South,Lucknow,UP,S. Gupta,456725
17,West,Jaipur,RJ,V. Shah,264703
18,Central,Ahmedabad,GJ,S. Gupta,289573
19,South,Bengaluru,KA,V. Shah,194249
20,South,Surat,GJ,A. Mehta,401163
21,Central,Bengaluru,KA,S. Gupta,280080
22,West,Surat,GJ,P. Iyer,419269
23,North,Pune,MH,N. Patel,319216
24,East,Mumbai,MH,R. Singh,356357
25,North,Chennai,TN,K. Rao,140695
26,Central,Jaipur,RJ,V. Shah,264494
27,East,Hyderabad,TG,N. Patel,360400
28,West,Lucknow,UP,A. Mehta,149071
29,West,Bengaluru,KA,K. Rao,448207
30,North,Pune,MH,K. Rao,467783
31,Central,Bengaluru,KA,K. Rao,333644
32,West,Bengaluru,KA,K. Rao,281930
33,West,Indore,MP,P. Iyer,188105
34,North,Lucknow,UP,S. Gupta,130909
35,East,Delhi,DL,R. Singh,487115
36,West,Delhi,DL,S. Gupta,360312
37,South,Pune,MH,S. Gupta,310577
38,East,Jaipur,RJ,R. Singh,325717
39,East,Jaipur,RJ,K. Rao,317734
40,West,Hyderabad,TG,R. Singh,179126
41,South,Pune,MH,R. Singh,221612
42,South,Kolkata,WB,A. Mehta,354260
43,South,Lucknow,UP,P. Iyer,247812
44,South,Indore,MP,S. Gupta,380279
45,Central,Hyderabad,TG,N. Patel,267044
46,Central,Mumbai,MH,N. Patel,443391
47,North,Kolkata,WB,S. Gupta,456817
48,West,Jaipur,RJ,S. Gupta,309179
49,North,Chennai,TN,S. Gupta,432550
50,North,Chennai,TN,R. Singh,135309
51,West,Delhi,DL,R. Singh,157634
52,Central,Hyderabad,TG,A. Mehta,153676
53,Central,Indore,MP,R. Singh,381342
54,East,Pune,MH,N. Patel,113369
55,South,Pune,MH,N. Patel,297252
56,East,Mumbai,MH,P. Iyer,415767
57,West,Hyderabad,TG,A. Mehta,160478
58,West,Ahmedabad,GJ,S. Gupta,353668
59,North,Bengaluru,KA,R. Singh,153575
60,East,Surat,GJ,K. Rao,238808
61,South,Ahmedabad,GJ,N. Patel,112108
62,Central,Delhi,DL,P. Iyer,176861
63,Central,Surat,GJ,A. Mehta,497485
64,East,Jaipur,RJ,K. Rao,147715
65,East,Surat,GJ,N. Patel,292256
66,East,Mumbai,MH,V. Shah,216807
67,Central,Jaipur,RJ,V. Shah,363558
68,South,Hyderabad,TG,N. Patel,497579
69,South,Delhi,DL,V. Shah,310074
70,South,Surat,GJ,R. Singh,371391
71,East,Ahmedabad,GJ,K. Rao,115193
72,East,Indore,MP,S. Gupta,235882
73,Central,Delhi,DL,P. Iyer,334476
74,East,Surat,GJ,P. Iyer,142225
75,North,Delhi,DL,R. Singh,346457
76,East,Delhi,DL,R. Singh,353049
77,Central,Lucknow,UP,V. Shah,101000
78,East,Ahmedabad,GJ,V. Shah,437186
79,North,Pune,MH,S. Gupta,473027
80,West,Delhi,DL,R. Singh,327501
81,East,Kolkata,WB,A. Mehta,478444
82,West,Chennai,TN,S. Gupta,489730
83,South,Pune,MH,R. Singh,166604
84,South,Indore,MP,N. Patel,343979
85,South,Kolkata,WB,N. Patel,412407
86,East,Ahmedabad,GJ,R. Singh,387655
87,South,Jaipur,RJ,A. Mehta,107467
88,North,Surat,GJ,N. Patel,492951
89,West,Mumbai,MH,V. Shah,202134
90,North,Delhi,DL,P. Iyer,211557
91,Central,Bengaluru,KA,R. Singh,407461
