ProductID,ProductName,Category,Brand,UnitPrice,ReorderLevel
1,Home Appliance Product 1,Home Appliances,HP,59.77,90
2,Furniture Product 2,Furniture,Sony,287.68,46
3,Home Appliance Product 3,Home Appliances,Philips,183.01,128
4,Electronic Product 4,Electronics,Dell,196.45,79
5,Sport Product 5,Sports,Lenovo,62.81,70
6,Home Appliance Product 6,Home Appliances,Philips,844.84,134
7,Sport Product 7,Sports,LG,1620.77,21
8,Office Supplie Product 8,Office Supplies,Samsung,1399.3,107
9,Grocery Product 9,Grocery,Samsung,438.47,106
10,Electronic Product 10,Electronics,HP,766.06,111
11,Office Supplie Product 11,Office Supplies,Nike,1211.41,31
12,Home Appliance Product 12,Home Appliances,Ikea,1077.09,116
13,Electronic Product 13,Electronics,Philips,593.42,180
14,Sport Product 14,Sports,Nike,1158.93,200
15,Electronic Product 15,Electronics,Dell,1325.91,94
16,Electronic Product 16,Electronics,Sony,1734.3,117
17,Grocery Product 17,Grocery,Ikea,1275.01,113
18,Furniture Product 18,Furniture,Nike,716.99,191
19,Grocery Product 19,Grocery,HP,1222.17,63
20,Sport Product 20,Sports,Sony,335.17,117
21,Grocery Product 21,Grocery,Philips,447.03,103
22,Office Supplie Product 22,Office Supplies,Dell,465.81,28
23,Office Supplie Product 23,Office Supplies,Nike,808.32,36
24,Furniture Product 24,Furniture,Lenovo,1753.97,100
25,Furniture Product 25,Furniture,Ikea,797.31,184
26,Clothing Product 26,Clothing,Samsung,537.11,83
27,Home Appliance Product 27,Home Appliances,Philips,1082.56,169
28,Clothing Product 28,Clothing,Lenovo,804.81,76
29,Furniture Product 29,Furniture,Philips,992.1,32
30,Office Supplie Product 30,Office Supplies,HP,314.15,60
31,Office Supplie Product 31,Office Supplies,Adidas,1196.85,118
32,Clothing Product 32,Clothing,Lenovo,1992.28,155
33,Grocery Product 33,Grocery,Philips,1722.95,22
34,Home Appliance Product 34,Home Appliances,HP,1366.6,157
35,Office Supplie Product 35,Office Supplies,LG,1539.51,107
36,Electronic Product 36,Electronics,LG,875.18,136
37,Electronic Product 37,Electronics,LG,1944.06,65
38,Sport Product 38,Sports,HP,1742.33,96
39,Office Supplie Product 39,Office Supplies,Philips,1221.85,59
40,Grocery Product 40,Grocery,Samsung,1083.36,155
41,Electronic Product 41,Electronics,Lenovo,655.07,24
42,Electronic Product 42,Electronics,Nike,1758.66,98
43,Furniture Product 43,Furniture,Dell,489.33,165
44,Electronic Product 44,Electronics,HP,1466.5,37
45,Office Supplie Product 45,Office Supplies,Philips,1534.01,52
46,Home Appliance Product 46,Home Appliances,Ikea,1894.23,62
47,Grocery Product 47,Grocery,Philips,1746.14,128
48,Furniture Product 48,Furniture,Philips,1512.98,196
49,Furniture Product 49,Furniture,LG,803.99,191
50,Home Appliance Product 50,Home Appliances,Nike,881.82,152
51,Clothing Product 51,Clothing,HP,503.33,36
52,Grocery Product 52,Grocery,Dell,1180.73,78
53,Sport Product 53,Sports,Sony,24.31,181
54,Electronic Product 54,Electronics,Sony,144.13,28
55,Office Supplie Product 55,Office Supplies,Nike,151.01,80
56,Grocery Product 56,Grocery,Ikea,436.33,53
57,Home Appliance Product 57,Home Appliances,Lenovo,1156.66,82
58,Office Supplie Product 58,Office Supplies,Ikea,1616.92,68
59,Electronic Product 59,Electronics,HP,1321.38,110
60,Clothing Product 60,Clothing,Adidas,939.38,33
61,Home Appliance Product 61,Home Appliances,HP,130.62,106
62,Office Supplie Product 62,Office Supplies,HP,504.83,68
63,Sport Product 63,Sports,Ikea,288.96,66
64,Grocery Product 64,Grocery,Ikea,507.11,39
65,Clothing Product 65,Clothing,Philips,204.84,186
66,Sport Product 66,Sports,Dell,1938.3,80
67,Furniture Product 67,Furniture,Adidas,976.43,74
68,Office Supplie Product 68,Office Supplies,Adidas,1805.86,62
69,Clothing Product 69,Clothing,Dell,1970.76,87
70,Office Supplie Product 70,Office Supplies,Ikea,577.65,198
71,Home Appliance Product 71,Home Appliances,Philips,1327.12,144
72,Furniture Product 72,Furniture,Sony,600.45,34
73,Sport Product 73,Sports,Philips,131.31,100
74,Electronic Product 74,Electronics,Dell,1172.51,148
75,Office Supplie Product 75,Office Supplies,Philips,323.29,150
76,Electronic Product 76,Electronics,Samsung,146.36,37
77,Home Appliance Product 77,Home Appliances,Sony,813.51,165
78,Furniture Product 78,Furniture,Lenovo,1193.09,178
79,Electronic Product 79,Electronics,Adidas,1318.17,164
80,Sport Product 80,Sports,Nike,1870.07,72
81,Home Appliance Product 81,Home Appliances,Nike,484.99,121
82,Furniture Product 82,Furniture,LG,919.88,38
83,Electronic Product 83,Electronics,Ikea,1246.11,164
84,Electronic Product 84,Electronics,HP,1079.89,149
85,Grocery Product 85,Grocery,Samsung,1867.19,37
86,Furniture Product 86,Furniture,Nike,577.12,132
87,Office Supplie Product 87,Office Supplies,Philips,1410.04,176
88,Office Supplie Product 88,Office Supplies,Philips,25.57,161
89,Grocery Product 89,Grocery,HP,1878.47,54
90,Grocery Product 90,Grocery,HP,1780.53,161
91,Furniture Product 91,Furniture,LG,570.69,73
92,Home Appliance Product 92,Home Appliances,Nike,415.16,182
93,Office Supplie Product 93,Office Supplies,LG,1015.76,84
94,Office Supplie Product 94,Office Supplies,Dell,193.67,128
95,Office Supplie Product 95,Office Supplies,LG,97.73,105
96,Office Supplie Product 96,Office Supplies,Samsung,1277.86,87
97,Furniture Product 97,Furniture,Ikea,1107.84,129
98,Sport Product 98,Sports,Dell,232.63,196
99,Furniture Product 99,Furniture,Philips,81.7,114
100,Sport Product 100,Sports,Philips,304.71,52
101,Electronic Product 101,Electronics,LG,735.66,30
102,Grocery Product 102,Grocery,Sony,1367.31,190
103,Electronic Product 103,Electronics,Nike,1562.43,124
104,Sport Product 104,Sports,Samsung,1852.27,80
105,Office Supplie Product 105,Office Supplies,Samsung,1952.65,65
106,Clothing Product 106,Clothing,Dell,366.93,105
107,Office Supplie Product 107,Office Supplies,Adidas,1606.45,83
108,Grocery Product 108,Grocery,Samsung,1576.88,47
109,Clothing Product 109,Clothing,Dell,1718.6,76
110,Furniture Product 110,Furniture,Ikea,705.82,78
111,Furniture Product 111,Furniture,Dell,1323.47,122
112,Grocery Product 112,Grocery,LG,1730.06,91
113,Grocery Product 113,Grocery,Philips,805.36,157
114,Grocery Product 114,Grocery,Dell,239.53,86
115,Furniture Product 115,Furniture,Lenovo,1925.44,87
116,Electronic Product 116,Electronics,HP,1197.18,108
117,Home Appliance Product 117,Home Appliances,Nike,878.42,150
118,Electronic Product 118,Electronics,Adidas,1800.01,68
119,Grocery Product 119,Grocery,Dell,1420.48,20
120,Sport Product 120,Sports,Philips,1376.85,191
121,Furniture Product 121,Furniture,Nike,868.28,190
122,Grocery Product 122,Grocery,Lenovo,634.69,51
123,Home Appliance Product 123,Home Appliances,LG,1019.17,190
124,Clothing Product 124,Clothing,Nike,810.78,95
125,Sport Product 125,Sports,Samsung,391.76,190
126,Clothing Product 126,Clothing,Samsung,1234.87,97
127,Clothing Product 127,Clothing,Philips,1669.11,97
128,Grocery Product 128,Grocery,Sony,865.48,168
129,Sport Product 129,Sports,Nike,935.33,133
130,Home Appliance Product 130,Home Appliances,Sony,1027.24,63
131,Home Appliance Product 131,Home Appliances,HP,574.73,189
132,Home Appliance Product 132,Home Appliances,Lenovo,677.02,80
133,Home Appliance Product 133,Home Appliances,LG,457.03,70
134,Furniture Product 134,Furniture,Dell,101.97,141
135,Sport Product 135,Sports,HP,916.28,181
136,Sport Product 136,Sports,Sony,1439.51,118
137,Clothing Product 137,Clothing,Adidas,495.53,187
138,Home Appliance Product 138,Home Appliances,Dell,1786.39,47
139,Office Supplie Product 139,Office Supplies,Adidas,445.49,198
140,Sport Product 140,Sports,Ikea,109.93,83
141,Office Supplie Product 141,Office Supplies,HP,918.36,138
142,Home Appliance Product 142,Home Appliances,Philips,1975.91,172
143,Grocery Product 143,Grocery,Ikea,1229.18,149
144,Clothing Product 144,Clothing,Philips,897.37,60
145,Home Appliance Product 145,Home Appliances,Ikea,905.64,83
146,Office Supplie Product 146,Office Supplies,LG,1533.97,153
147,Clothing Product 147,Clothing,Sony,556.45,39
148,Home Appliance Product 148,Home Appliances,LG,476.64,105
149,Grocery Product 149,Grocery,Philips,170.35,58
