ProductID,ProductName,Category,Brand,UnitPrice,ReorderLevel
2001,Clothing Product 2001,Clothing,Adidas,408.15,65
2002,Furniture Product 2002,Furniture,Sony,275.16,42
2003,Grocery Product 2003,Grocery,Adidas,1066.32,199
2004,Sports Product 2004,Sports,HP,1877.37,145
2005,Furniture Product 2005,Furniture,Adidas,1447.23,170
2006,Furniture Product 2006,Furniture,Nike,1646.43,194
2007,Furniture Product 2007,Furniture,Samsung,928.35,65
2008,Office Supplies Product 2008,Office Supplies,Lenovo,684.23,155
2009,Home Appliances Product 2009,Home Appliances,HP,943.39,123
2010,Electronics Product 2010,Electronics,LG,1120.32,128
2011,Furniture Product 2011,Furniture,Nike,1979.24,156
2012,Electronics Product 2012,Electronics,Ikea,1042.12,70
2013,Sports Product 2013,Sports,Ikea,1953.66,111
2014,Furniture Product 2014,Furniture,Sony,1905.33,61
2015,Home Appliances Product 2015,Home Appliances,Ikea,1194.88,65
2016,Sports Product 2016,Sports,Samsung,83.75,25
2017,Furniture Product 2017,Furniture,Ikea,1370.89,127
2018,Electronics Product 2018,Electronics,Adidas,1267.71,56
2019,Grocery Product 2019,Grocery,Lenovo,21.28,104
2020,Furniture Product 2020,Furniture,Philips,816.61,34
2021,Home Appliances Product 2021,Home Appliances,Sony,891.52,159
2022,Clothing Product 2022,Clothing,Samsung,714.08,197
2023,Clothing Product 2023,Clothing,Dell,270.54,173
2024,Office Supplies Product 2024,Office Supplies,Samsung,1219.99,124
2025,Electronics Product 2025,Electronics,HP,246.24,95
2026,Furniture Product 2026,Furniture,Samsung,825.65,73
2027,Sports Product 2027,Sports,Nike,1543.43,79
2028,Office Supplies Product 2028,Office Supplies,LG,243.25,112
2029,Furniture Product 2029,Furniture,HP,1007.45,22
2030,Sports Product 2030,Sports,Dell,681.5,116
2031,Clothing Product 2031,Clothing,Nike,1646.51,122
2032,Clothing Product 2032,Clothing,Adidas,1629.24,156
2033,Electronics Product 2033,Electronics,Samsung,1760.34,115
2034,Home Appliances Product 2034,Home Appliances,Adidas,1543.94,78
2035,Grocery Product 2035,Grocery,Sony,1310.19,99
2036,Electronics Product 2036,Electronics,Nike,445.02,192
2037,Home Appliances Product 2037,Home Appliances,Sony,773.27,132
2038,Office Supplies Product 2038,Office Supplies,HP,1766.22,127
2039,Grocery Product 2039,Grocery,HP,1011.27,195
2040,Office Supplies Product 2040,Office Supplies,Nike,1578.53,156
2041,Furniture Product 2041,Furniture,LG,867.53,94
2042,Clothing Product 2042,Clothing,Lenovo,327.25,117
2043,Home Appliances Product 2043,Home Appliances,Lenovo,1726.79,178
2044,Home Appliances Product 2044,Home Appliances,Ikea,397.0,106
2045,Furniture Product 2045,Furniture,Nike,18.58,110
2046,Home Appliances Product 2046,Home Appliances,LG,1929.65,69
2047,Home Appliances Product 2047,Home Appliances,Samsung,1581.09,86
2048,Home Appliances Product 2048,Home Appliances,Adidas,1488.6,200
