SupplierID,SupplierName,SupplierCity,SupplierState,Rating,LeadTimeDays
501,Supplier 501,Chennai,TN,3.5,9
502,Supplier 502,Pune,MH,4.5,11
503,Supplier 503,Delhi,DL,4.5,7
504,Supplier 504,Chennai,TN,4.9,3
505,Supplier 505,Ahmedabad,GJ,3.8,10
506,Supplier 506,Bengaluru,KA,3.5,10
507,Supplier 507,Bengaluru,KA,3.3,3
508,Supplier 508,Hyderabad,TG,3.6,8
509,Supplier 509,Hyderabad,TG,3.2,9
510,Supplier 510,Pune,MH,3.6,4
511,Supplier 511,Chennai,TN,3.0,8
512,Supplier 512,Ahmedabad,GJ,3.8,6
513,Supplier 513,Bengaluru,KA,3.6,15
514,Supplier 514,Pune,MH,3.4,10
515,Supplier 515,Indore,MP,4.5,2
516,Supplier 516,Delhi,DL,4.6,2
517,Supplier 517,Bengaluru,KA,3.3,8
518,Supplier 518,Bengaluru,KA,3.9,15
519,Supplier 519,Bengaluru,KA,4.8,12
520,Supplier 520,Pune,MH,3.2,14
521,Supplier 521,Bengaluru,KA,4.5,9
522,Supplier 522,Pune,MH,3.9,9
523,Supplier 523,Pune,MH,4.4,4
524,Supplier 524,Mumbai,MH,3.5,2
525,Supplier 525,Bengaluru,KA,4.7,7
526,Supplier 526,Ahmedabad,GJ,3.8,7
527,Supplier 527,Mumbai,MH,4.0,2
528,Supplier 528,Bengaluru,KA,3.6,15
529,Supplier 529,Hyderabad,TG,3.0,12
530,Supplier 530,Delhi,DL,3.3,11
531,Supplier 531,Hyderabad,TG,3.4,15
532,Supplier 532,Hyderabad,TG,3.3,9
533,Supplier 533,Ahmedabad,GJ,3.8,5
534,Supplier 534,Ahmedabad,GJ,4.7,7
535,Supplier 535,Ahmedabad,GJ,3.6,15
536,Supplier 536,Pune,MH,4.3,2
537,Supplier 537,Pune,MH,3.4,15
538,Supplier 538,Ahmedabad,GJ,4.8,2
539,Supplier 539,Mumbai,MH,3.7,15
540,Supplier 540,Ahmedabad,GJ,4.9,13
541,Supplier 541,Delhi,DL,4.5,2
542,Supplier 542,Indore,MP,3.1,4
543,Supplier 543,Chennai,TN,4.1,15
544,Supplier 544,Hyderabad,TG,4.6,7
545,Supplier 545,Bengaluru,KA,3.5,10
546,Supplier 546,Ahmedabad,GJ,4.2,7
547,Supplier 547,Chennai,TN,5.0,6
548,Supplier 548,Pune,MH,4.0,10
549,Supplier 549,Hyderabad,TG,3.4,11
550,Supplier 550,Pune,MH,4.6,8
