WarehouseID,WarehouseName,City,State,Capacity
1,Warehouse 1,Delhi,DL,17964
2,Warehouse 2,Bengaluru,KA,16412
3,Warehouse 3,Delhi,DL,22170
4,Warehouse 4,Mumbai,MH,27270
5,Warehouse 5,Delhi,DL,16700
6,Warehouse 6,Delhi,DL,6408
7,Warehouse 7,Mumbai,MH,22156
8,Warehouse 8,Pune,MH,6375
9,Warehouse 9,Mumbai,MH,29833
10,Warehouse 10,Pune,MH,27176
11,Warehouse 11,Delhi,DL,24993
12,Warehouse 12,Ahmedabad,GJ,20738
13,Warehouse 13,Hyderabad,TG,29402
14,Warehouse 14,Mumbai,MH,39532
15,Warehouse 15,Chennai,TN,9284
16,Warehouse 16,Pune,MH,14465
17,Warehouse 17,Mumbai,MH,17428
18,Warehouse 18,Delhi,DL,39901
19,Warehouse 19,Chennai,TN,29527
20,Warehouse 20,Hyderabad,TG,44292
21,Warehouse 21,Chennai,TN,46690
22,Warehouse 22,Delhi,DL,8027
23,Warehouse 23,Delhi,DL,40092
24,Warehouse 24,Bengaluru,KA,14736
25,Warehouse 25,Hyderabad,TG,21198
26,Warehouse 26,Indore,MP,46252
27,Warehouse 27,Bengaluru,KA,13287
28,Warehouse 28,Ahmedabad,GJ,18712
29,Warehouse 29,Pune,MH,35845
30,Warehouse 30,Pune,MH,15972
31,Warehouse 31,Chennai,TN,47275
32,Warehouse 32,Hyderabad,TG,37675
33,Warehouse 33,Ahmedabad,GJ,16730
34,Warehouse 34,Hyderabad,TG,29502
35,Warehouse 35,Ahmedabad,GJ,37426
36,Warehouse 36,Ahmedabad,GJ,22585
37,Warehouse 37,Chennai,TN,46818
38,Warehouse 38,Indore,MP,18579
39,Warehouse 39,Delhi,DL,18303
40,Warehouse 40,Ahmedabad,GJ,20360
41,Warehouse 41,Chennai,TN,19325
42,Warehouse 42,Bengaluru,KA,32854
43,Warehouse 43,Chennai,TN,42445
44,Warehouse 44,Mumbai,MH,29517
45,Warehouse 45,Bengaluru,KA,41080
46,Warehouse 46,Pune,MH,13803
47,Warehouse 47,Pune,MH,24336
48,Warehouse 48,Ahmedabad,GJ,39001
49,Warehouse 49,Hyderabad,TG,20084
50,Warehouse 50,Indore,MP,35490
51,Warehouse 51,Hyderabad,TG,32925
52,Warehouse 52,Ahmedabad,GJ,35641
53,Warehouse 53,Chennai,TN,31801
54,Warehouse 54,Hyderabad,TG,37606
55,Warehouse 55,Hyderabad,TG,22892
56,Warehouse 56,Chennai,TN,6619
57,Warehouse 57,Mumbai,MH,33946
58,Warehouse 58,Delhi,DL,22407
59,Warehouse 59,Pune,MH,28533
60,Warehouse 60,Pune,MH,24301
61,Warehouse 61,Pune,MH,23115
62,Warehouse 62,Delhi,DL,11449
63,Warehouse 63,Pune,MH,9675
64,Warehouse 64,Hyderabad,TG,7508
65,Warehouse 65,Delhi,DL,26873
66,Warehouse 66,Delhi,DL,49243
67,Warehouse 67,Hyderabad,TG,21385
68,Warehouse 68,Bengaluru,KA,49796
69,Warehouse 69,Bengaluru,KA,17493
70,Warehouse 70,Mumbai,MH,40594
71,Warehouse 71,Bengaluru,KA,5559
72,Warehouse 72,Bengaluru,KA,23471
73,Warehouse 73,Hyderabad,TG,31464
74,Warehouse 74,Chennai,TN,43007
75,Warehouse 75,Indore,MP,35933
76,Warehouse 76,Mumbai,MH,31050
77,Warehouse 77,Delhi,DL,19871
78,Warehouse 78,Delhi,DL,36092
79,Warehouse 79,Delhi,DL,38805
80,Warehouse 80,Ahmedabad,GJ,35238
81,Warehouse 81,Hyderabad,TG,10627
82,Warehouse 82,Hyderabad,TG,17310
83,Warehouse 83,Chennai,TN,32373
84,Warehouse 84,Delhi,DL,33749
85,Warehouse 85,Ahmedabad,GJ,41598
86,Warehouse 86,Indore,MP,29556
87,Warehouse 87,Mumbai,MH,42847
88,Warehouse 88,Mumbai,MH,25025
89,Warehouse 89,Indore,MP,37754
90,Warehouse 90,Hyderabad,TG,27270
91,Warehouse 91,Delhi,DL,32469
92,Warehouse 92,Chennai,TN,49942
93,Warehouse 93,Chennai,TN,40232
94,Warehouse 94,Bengaluru,KA,26369
95,Warehouse 95,Indore,MP,42196
96,Warehouse 96,Indore,MP,14118
97,Warehouse 97,Mumbai,MH,26643
98,Warehouse 98,Chennai,TN,29990
99,Warehouse 99,Delhi,DL,30600
100,Warehouse 100,Pune,MH,40028
