InventoryID,ProductID,SupplierID,WarehouseID,DateID,QuantityReceived,QuantitySold,CurrentStock,PurchaseCost,SellingPrice,DeliveryDays,OrderStatus
1,792,97,61,20220811,178,145,264,965.72,1179.97,7,Delivered
2,1383,284,23,20220307,433,352,331,59.72,70.45,14,Pending
3,422,120,38,20250912,278,35,475,105.03,137.32,7,Pending
4,1761,466,53,20240311,90,14,142,813.95,1051.05,4,Pending
5,1957,463,27,20220924,455,105,508,659.66,912.88,17,Delivered
6,1237,295,40,20250418,113,64,283,427.65,471.69,6,Pending
7,132,423,52,20250523,423,126,566,506.76,672.82,17,Pending
8,948,295,6,20220706,157,116,218,1056.47,1462.85,11,Pending
9,1256,422,23,20240430,137,45,313,697.59,1021.5,7,Delayed
10,1165,49,51,20251201,494,22,594,1330.6,1547.72,19,Pending
11,1366,470,9,20251130,381,369,123,1364.93,1725.97,19,Delivered
12,756,40,97,20220804,268,166,311,687.39,825.63,18,Delivered
13,947,14,10,20250801,365,345,256,584.11,816.81,8,Pending
14,78,6,33,20220823,373,69,471,1012.04,1301.18,16,Delivered
15,170,281,85,20230512,375,224,222,716.77,868.48,7,Delivered
16,1718,10,78,20220725,100,37,126,811.29,1019.26,4,Delayed
17,1564,6,87,20230714,88,56,215,283.35,392.66,19,Delivered
18,906,357,7,20250724,425,267,210,598.12,731.7,3,Delayed
19,10,25,99,20240212,402,103,426,574.47,686.73,4,Delivered
20,864,15,2,20231122,430,98,364,346.44,503.35,7,Delayed
21,343,23,54,20241115,65,41,189,851.84,1001.61,8,Delayed
22,810,481,55,20220905,128,54,128,547.73,640.54,14,Delayed
23,648,7,50,20230312,244,56,221,993.78,1203.85,13,Delivered
24,138,454,28,20240421,164,153,266,1474.99,1682.56,19,Delayed
25,352,129,13,20250513,176,161,213,1023.29,1523.62,6,Pending
26,360,326,98,20251109,172,170,248,119.92,132.76,20,Pending
27,784,262,82,20230422,267,6,380,51.4,72.14,5,Pending
28,485,378,55,20230514,327,40,317,223.58,290.54,8,Delivered
29,770,105,83,20220319,131,113,186,218.72,268.37,3,Delayed
30,1622,213,83,20230814,394,12,499,1273.46,1569.55,9,Delivered
31,1105,28,86,20230524,420,351,182,919.93,1152.3,12,Delivered
32,906,323,1,20220513,455,251,239,1431.42,1604.4,6,Delivered
33,258,47,23,20250428,291,104,307,770.99,979.54,16,Pending
34,337,370,26,20230517,227,45,309,468.59,623.49,8,Pending
35,1767,401,62,20220613,496,184,515,579.02,745.94,15,Delayed
36,1249,377,56,20221116,429,406,269,49.32,61.78,4,Pending
37,1219,276,20,20250206,382,89,424,583.07,712.71,11,Pending
38,1152,311,62,20220528,180,34,386,309.66,454.1,2,Delivered
39,1765,257,94,20240206,261,207,266,1411.62,2100.77,13,Pending
40,1003,158,83,20250419,46,26,39,1488.86,1711.88,20,Delivered
41,398,391,56,20230607,404,384,198,774.22,1002.96,13,Delayed
42,119,334,50,20240518,386,126,384,727.03,1067.71,13,Delayed
43,1448,347,4,20251129,350,330,95,406.77,521.56,6,Pending
44,507,309,75,20250919,440,82,364,192.76,219.15,14,Pending
45,1447,301,11,20241127,475,96,595,265.42,337.28,11,Delayed
46,1982,273,85,20240223,310,157,363,1133.64,1666.14,4,Delivered
47,1303,294,100,20231207,426,73,490,1128.12,1660.6,14,Delayed
48,631,4,22,20241004,10,1,44,1165.14,1476.39,15,Delayed
49,591,376,56,20221216,100,47,148,1061.99,1252.31,7,Delayed
50,1943,57,58,20250307,426,108,413,317.39,444.34,8,Pending
51,1848,447,53,20240621,330,319,66,1305.18,1522.43,11,Delivered
52,774,64,36,20220512,185,7,477,367.47,475.53,5,Delivered
53,126,137,97,20220115,350,298,73,163.33,213.79,2,Pending
54,1235,267,98,20230629,487,248,481,1140.23,1529.9,12,Pending
55,1397,456,44,20231008,428,122,490,1004.32,1256.78,3,Pending
56,1789,170,13,20220107,243,222,226,1093.33,1591.0,6,Delivered
57,1233,63,68,20230727,496,358,265,565.28,761.62,17,Delayed
58,847,339,25,20220107,336,164,180,957.99,1388.49,12,Delayed
59,910,120,78,20240919,214,189,66,535.53,790.25,17,Delayed
60,1756,359,13,20240228,160,155,104,1073.67,1554.61,20,Delayed
61,1034,17,17,20241016,417,44,527,1251.88,1875.97,16,Delivered
62,1836,229,15,20240914,349,276,196,380.17,444.1,4,Delivered
63,891,367,4,20221125,485,475,177,1355.92,1907.13,9,Delayed
64,528,341,61,20251005,73,17,329,957.65,1241.86,12,Delivered
65,1909,295,99,20250515,43,41,177,577.98,801.65,14,Delayed
66,1316,402,72,20240613,423,119,418,403.46,490.76,5,Delivered
67,697,380,76,20230121,391,59,625,564.25,813.27,14,Delayed
68,1510,1,40,20220507,312,274,135,1273.74,1900.34,12,Pending
69,1634,348,17,20241130,349,308,154,177.75,196.18,16,Pending
70,297,418,38,20230325,265,233,107,910.17,1054.29,3,Delayed
71,656,159,65,20251111,73,35,331,727.86,1041.91,17,Pending
72,1443,495,49,20220501,424,170,332,1245.27,1474.71,9,Delayed
73,1507,27,100,20230102,448,249,399,462.67,659.77,7,Delivered
74,1123,201,44,20240515,357,242,293,1141.42,1434.11,18,Delayed
75,580,145,90,20230204,368,280,289,164.03,201.65,20,Delivered
76,1741,479,91,20230915,244,167,160,874.19,1116.13,17,Pending
77,1838,75,27,20230323,421,383,138,1108.27,1223.15,20,Delivered
78,1390,403,19,20240211,496,218,364,1390.46,1582.93,17,Delivered
79,1936,27,16,20241121,342,173,391,1455.2,1965.67,14,Delivered
80,70,61,31,20240323,260,154,194,986.14,1232.82,4,Pending
81,1772,419,84,20240222,150,113,225,37.17,42.62,5,Pending
82,1314,343,66,20230406,21,18,296,1481.28,1913.52,5,Delayed
83,371,197,62,20250813,369,222,299,865.71,986.72,4,Delayed
84,1862,442,69,20230114,217,208,19,602.82,860.22,18,Pending
85,131,266,75,20250108,375,333,105,1135.19,1342.91,5,Delivered
86,1766,307,89,20230104,12,8,232,1204.76,1384.53,6,Delayed
87,423,335,21,20220629,297,131,183,145.22,166.99,11,Pending
88,1979,279,22,20240516,493,336,157,387.54,433.45,18,Pending
89,1350,274,57,20221014,305,251,214,793.55,1185.89,13,Delayed
90,1103,262,27,20251109,60,42,40,370.91,435.9,11,Delivered
91,1961,69,78,20250204,120,75,228,430.55,599.17,15,Delivered
92,1127,131,34,20240221,342,83,463,694.98,1027.11,15,Delayed
93,294,275,27,20220525,332,137,293,1077.38,1428.02,18,Delayed
94,336,215,20,20231010,413,222,385,58.35,78.27,4,Pending
95,256,273,15,20251101,290,208,115,507.45,576.25,12,Pending
96,300,445,29,20230715,15,3,205,1469.64,1747.24,5,Delivered
97,360,270,94,20230920,311,250,109,802.86,1108.09,11,Delayed
98,556,312,13,20220409,97,40,256,287.4,408.81,19,Delayed
99,1218,452,52,20240903,313,65,380,34.06,44.46,6,Delayed
100,259,74,49,20250308,386,136,277,1379.29,1869.87,13,Delayed
101,1593,128,87,20250531,224,180,278,290.99,434.88,16,Delayed
102,588,142,55,20241202,492,367,242,471.68,680.71,11,Pending
103,1579,161,12,20250723,50,4,168,1418.4,1653.92,3,Delivered
104,1523,147,71,20241006,423,5,635,1022.01,1505.4,6,Pending
105,1020,264,88,20251018,464,272,255,620.1,834.97,2,Delayed
106,871,360,69,20231208,135,135,21,918.91,1365.37,18,Delivered
107,359,39,47,20221001,273,180,119,645.63,808.09,13,Delivered
108,693,468,87,20230527,435,276,219,449.3,581.06,10,Delivered
109,5,378,81,20250310,211,55,312,1395.08,2069.82,18,Delivered
110,1916,238,80,20240926,39,22,20,930.98,1146.43,13,Delivered
111,11,180,93,20230117,215,90,129,169.98,220.43,4,Delayed
112,1054,461,20,20240421,73,62,14,250.33,341.11,9,Pending
113,810,192,39,20240117,229,228,94,813.91,983.03,16,Delayed
114,1720,225,21,20221014,191,191,222,28.6,41.57,8,Delivered
115,389,146,6,20221001,212,107,274,1353.48,1575.62,8,Pending
116,1966,341,35,20220901,225,125,381,753.44,1034.24,6,Pending
117,1539,392,100,20240329,266,199,134,182.4,208.51,2,Delivered
118,319,177,65,20220128,402,350,173,97.02,138.93,15,Delayed
119,1511,5,56,20240910,158,72,334,142.27,180.91,6,Delayed
120,1048,96,32,20230730,402,58,478,1491.5,1788.22,15,Delivered
121,971,362,14,20251206,383,257,218,299.23,431.47,6,Delivered
122,247,68,52,20220320,150,49,175,650.93,876.53,4,Delivered
123,779,209,68,20230920,368,324,162,348.23,442.4,3,Delayed
124,875,330,7,20230916,66,34,218,435.22,539.85,15,Delivered
125,656,459,7,20230108,30,0,56,997.44,1225.51,11,Pending
126,574,466,78,20220726,230,47,312,1423.53,1772.91,11,Delivered
127,199,343,2,20251030,292,66,395,553.64,788.39,20,Delayed
128,1239,191,31,20250824,151,53,397,588.39,856.04,6,Delayed
129,1521,309,16,20220326,310,97,311,1062.9,1562.68,4,Delayed
130,1268,176,39,20240829,399,103,569,1086.74,1214.46,8,Pending
131,1128,365,33,20250221,187,93,323,952.2,1092.15,15,Delivered
132,989,215,68,20241028,414,11,488,906.75,1250.12,6,Pending
133,94,490,73,20220505,416,355,158,1116.26,1405.37,19,Delayed
134,1990,39,22,20240615,394,260,330,852.5,1070.82,10,Delivered
135,377,2,21,20250317,121,75,50,1321.15,1871.09,16,Delayed
136,1450,369,68,20230615,165,56,260,1068.22,1410.97,7,Delivered
137,94,274,31,20230821,30,20,85,1414.23,1712.78,6,Pending
138,1789,405,7,20250808,137,53,357,191.95,260.95,13,Pending
139,171,485,91,20250129,145,34,320,1349.54,1643.68,3,Delayed
140,1672,6,46,20230326,384,143,331,398.86,441.24,20,Delivered
141,1480,382,89,20240222,494,334,291,1307.64,1770.18,19,Delivered
142,1673,227,29,20231027,147,52,392,952.1,1374.16,14,Delivered
143,914,119,94,20240607,198,37,406,158.66,186.05,7,Delivered
144,387,292,63,20230105,341,144,207,479.04,696.57,14,Delayed
145,1245,97,9,20221021,46,27,144,693.44,941.72,14,Delivered
146,1484,270,18,20220125,318,51,460,588.31,673.03,2,Delayed
147,1915,23,17,20230524,404,42,499,231.1,312.21,2,Delivered
148,1962,406,14,20250115,386,173,256,319.44,412.77,20,Pending
149,1671,84,40,20231111,255,79,300,102.7,141.4,19,Delivered
150,44,423,6,20220730,288,151,189,777.08,1114.79,6,Delivered
151,1869,115,4,20230410,228,98,205,542.9,659.48,14,Delayed
152,1811,367,15,20241004,96,14,196,170.57,252.84,13,Delivered
153,1261,171,16,20240109,482,473,52,1345.47,1805.36,7,Pending
154,1087,172,77,20230107,357,217,216,1341.81,1844.81,11,Pending
155,1793,54,35,20241019,348,188,295,1219.86,1688.92,4,Delivered
156,1765,478,20,20250905,85,40,120,598.09,830.47,17,Delivered
157,232,296,55,20230725,84,11,238,1492.26,1750.05,14,Pending
158,654,254,55,20240912,365,211,324,224.57,331.83,9,Pending
159,858,282,64,20250108,283,252,303,813.59,969.84,4,Delayed
160,1465,216,68,20250329,407,355,164,1060.58,1266.41,2,Delivered
161,1743,9,47,20250217,252,245,75,1382.94,1554.19,13,Pending
162,1739,435,100,20221013,160,117,116,1256.17,1658.9,15,Delivered
163,432,424,29,20220425,392,70,382,1443.84,1994.79,14,Delayed
164,54,357,55,20240201,37,6,328,129.18,185.37,7,Delivered
165,301,188,19,20220611,135,19,122,862.39,1229.32,6,Delivered
166,963,381,18,20241216,367,153,454,629.05,776.84,2,Pending
167,228,80,8,20250808,26,19,95,764.88,844.69,15,Delayed
168,1942,449,59,20250208,374,132,534,762.77,1055.48,15,Delivered
169,557,499,12,20241204,203,32,279,612.6,687.58,14,Delivered
170,1685,382,72,20250524,440,39,640,726.58,988.93,14,Pending
171,338,28,48,20250817,227,49,316,180.43,204.09,12,Delivered
172,491,145,21,20250114,64,8,164,903.72,1267.57,11,Delivered
173,1130,104,82,20220308,133,68,108,1465.46,1943.08,20,Pending
174,94,25,41,20220710,493,158,339,1471.2,2060.67,14,Delayed
175,400,162,97,20240311,381,182,265,1059.93,1207.21,15,Delayed
176,1032,52,65,20221104,22,18,199,725.89,1050.74,3,Pending
177,331,78,88,20240806,50,40,57,1430.17,1705.66,8,Delayed
178,1340,73,99,20221126,266,264,269,1396.74,1727.16,6,Pending
179,596,185,80,20240601,30,28,200,373.88,560.37,4,Delivered
180,1162,322,64,20220719,422,7,488,1154.15,1412.47,4,Pending
181,193,233,41,20221214,488,151,419,120.88,160.84,13,Delivered
182,146,92,91,20240801,142,121,152,1149.46,1467.65,6,Delivered
183,1991,292,63,20220323,196,73,328,625.37,842.92,6,Pending
184,752,263,80,20231005,201,21,391,768.79,926.49,3,Delayed
